,food_name,food_img_path,health_code
0,Baked Potato-Train (1).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1).jpg,1
1,Baked Potato-Train (10).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (10).jpg,1
2,Baked Potato-Train (100).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (100).jpg,1
3,Baked Potato-Train (1000).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1000).jpg,1
4,Baked Potato-Train (1001).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1001).jpg,1
5,Baked Potato-Train (1002).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1002).jpg,1
6,Baked Potato-Train (1003).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1003).jpg,1
7,Baked Potato-Train (1004).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1004).jpg,1
8,Baked Potato-Train (1005).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1005).jpg,1
9,Baked Potato-Train (1006).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1006).jpg,1
10,Baked Potato-Train (1007).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1007).jpg,1
11,Baked Potato-Train (1008).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1008).jpg,1
12,Baked Potato-Train (1009).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1009).jpg,1
13,Baked Potato-Train (101).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (101).jpg,1
14,Baked Potato-Train (1010).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1010).jpg,1
15,Baked Potato-Train (1011).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1011).jpg,1
16,Baked Potato-Train (1012).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1012).jpg,1
17,Baked Potato-Train (1013).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1013).jpg,1
18,Baked Potato-Train (1014).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1014).jpg,1
19,Baked Potato-Train (1015).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1015).jpg,1
